Time(YYYY-MM-DD H:mm:ss),Carbon dioxide(ppm)
2023-10-02 00:00:55,1165.086887835703
2023-10-02 00:01:23,1160.347551342812
2023-10-02 00:01:51,1158.7677725118483
2023-10-02 00:02:19,1153.2385466034755
2023-10-02 00:02:48,1151.6587677725117
2023-10-02 00:03:16,1139.8104265402844
2023-10-02 00:03:44,1135.860979462875
2023-10-02 00:04:13,1135.860979462875
2023-10-02 00:04:41,1099.5260663507108
2023-10-02 00:05:09,1095.5766192733017
2023-10-02 00:05:37,1084.518167456556
2023-10-02 00:06:06,1078.1990521327014
2023-10-02 00:06:34,1077.4091627172195
2023-10-02 00:07:02,1078.1990521327014
2023-10-02 00:07:30,1078.1990521327014
2023-10-02 00:07:59,1086.8878357030017
2023-10-02 00:08:27,1094.7867298578199
2023-10-02 00:08:55,1098.736176935229
2023-10-02 00:09:23,1110.5845181674565
2023-10-02 00:09:52,1112.1642969984202
2023-10-02 00:10:20,1114.5339652448656
2023-10-02 00:10:48,1114.5339652448656
2023-10-02 00:11:16,1115.3238546603475
2023-10-02 00:11:45,1116.1137440758293
2023-10-02 00:12:13,1115.3238546603475
2023-10-02 00:12:41,1106.6350710900474
2023-10-02 00:13:09,1096.3665086887836
2023-10-02 00:13:38,1092.4170616113745
2023-10-02 00:14:06,1091.6271721958926
2023-10-02 00:14:34,1090.8372827804108
2023-10-02 00:15:02,1090.047393364929
2023-10-02 00:15:31,1089.257503949447
2023-10-02 00:15:59,1087.6777251184835
2023-10-02 00:16:27,1084.518167456556
2023-10-02 00:16:55,1067.9304897314375
2023-10-02 00:17:24,1062.4012638230647
2023-10-02 00:17:52,1052.9225908372828
2023-10-02 00:18:20,1052.132701421801
2023-10-02 00:18:48,1052.132701421801
2023-10-02 00:19:17,1057.6619273301737
2023-10-02 00:19:45,1062.4012638230647
2023-10-02 00:20:13,1063.1911532385466
2023-10-02 00:20:41,1063.1911532385466
2023-10-02 00:21:10,1063.1911532385466
2023-10-02 00:21:38,1051.342812006319
2023-10-02 00:22:06,1042.654028436019
2023-10-02 00:22:34,1035.5450236966824
2023-10-02 00:23:03,1023.696682464455
2023-10-02 00:23:31,1023.696682464455
2023-10-02 00:23:59,1024.4865718799367
2023-10-02 00:24:27,1035.5450236966824
2023-10-02 00:24:56,1040.2843601895734
2023-10-02 00:25:24,1041.864139020537
2023-10-02 00:25:52,1048.9731437598737
2023-10-02 00:26:21,1063.1911532385466
2023-10-02 00:26:49,1063.1911532385466
2023-10-02 00:27:17,1063.1911532385466
2023-10-02 00:27:45,1054.5023696682465
2023-10-02 00:28:14,1053.7124802527646
2023-10-02 00:28:42,1044.2338072669827
2023-10-02 00:29:10,1040.2843601895734
2023-10-02 00:29:38,1039.4944707740917
2023-10-02 00:30:07,1039.4944707740917
2023-10-02 00:30:35,1033.175355450237
2023-10-02 00:31:03,1029.225908372828
2023-10-02 00:31:31,1015.0078988941548
2023-10-02 00:32:00,1008.6887835703002
2023-10-02 00:32:28,1002.3696682464455
2023-10-02 00:32:56,988.1516587677725
2023-10-02 00:33:24,985.781990521327
2023-10-02 00:33:53,980.2527646129541
2023-10-02 00:34:21,978.6729857819905
2023-10-02 00:34:49,978.6729857819905
2023-10-02 00:35:17,979.4628751974724
2023-10-02 00:35:46,980.2527646129541
2023-10-02 00:36:14,983.4123222748815
2023-10-02 00:36:42,988.1516587677725
2023-10-02 00:37:10,999.2101105845181
2023-10-02 00:37:39,1032.3854660347552
2023-10-02 00:38:07,1039.4944707740917
2023-10-02 00:38:35,1041.864139020537
2023-10-02 00:39:03,1048.1832543443918
2023-10-02 00:39:32,1048.9731437598737
2023-10-02 00:40:00,1050.5529225908372
2023-10-02 00:40:28,1051.342812006319
2023-10-02 00:40:56,1052.132701421801
2023-10-02 00:41:25,1052.9225908372828
2023-10-02 00:41:53,1056.8720379146919
2023-10-02 00:42:21,1060.0315955766193
2023-10-02 00:42:49,1063.1911532385466
2023-10-02 00:43:18,1067.1406003159557
2023-10-02 00:43:46,1070.3001579778831
2023-10-02 00:44:14,1071.8799368088467
2023-10-02 00:44:42,1074.2496050552922
2023-10-02 00:45:11,1076.6192733017378
2023-10-02 00:45:39,1077.4091627172195
2023-10-02 00:46:07,1077.4091627172195
2023-10-02 00:46:36,1077.4091627172195
2023-10-02 00:47:04,1076.6192733017378
2023-10-02 00:47:32,1071.8799368088467
2023-10-02 00:48:00,1071.090047393365
2023-10-02 00:48:29,1069.5102685624013
2023-10-02 00:48:57,1065.5608214849922
2023-10-02 00:49:25,1063.9810426540284
2023-10-02 00:49:53,1063.9810426540284
2023-10-02 00:50:22,1063.1911532385466
2023-10-02 00:50:50,1062.4012638230647
2023-10-02 00:51:18,1062.4012638230647
2023-10-02 00:51:46,1062.4012638230647
2023-10-02 00:52:15,1056.8720379146919
2023-10-02 00:52:43,1055.2922590837284
2023-10-02 00:53:11,1051.342812006319
2023-10-02 00:53:39,1048.1832543443918
2023-10-02 00:54:08,1043.4439178515008
2023-10-02 00:54:36,1042.654028436019
2023-10-02 00:55:04,1041.864139020537
2023-10-02 00:55:32,1041.0742496050552
2023-10-02 00:56:01,1041.0742496050552
2023-10-02 00:56:29,1041.0742496050552
2023-10-02 00:56:57,1039.4944707740917
2023-10-02 00:57:25,1032.3854660347552
2023-10-02 00:57:54,1031.5955766192733
2023-10-02 00:58:22,1022.1169036334913
